Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
Governance,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,6.1,1.581,John Wiley & Sons,Sociology and Political Science
Government and Opposition,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,2.172,Cambridge University Press,Sociology and Political Science
Groundwater for Sustainable Development,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.7,1.322,Elsevier,"Geography, Planning and Development"
Habitat International,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.8,1.892,Elsevier,Urban Studies
Harvard Kennedy School Misinformation Review,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,1.362,Harvard Kennedy School,Social Sciences (miscellaneous)
Health and Place,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.4,1.328,Elsevier,Sociology and Political Science
Health and Social Care in the Community,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,0.984,John Wiley & Sons,Social Sciences (miscellaneous)
Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.2,2.059,Springer Nature,Education
Higher Education Policy,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,0.798,Springer Nature,Sociology and Political Science
Higher Education Research and Development,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.6,1.336,Taylor & Francis,Education
Housing Policy Debate,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.006,Taylor & Francis,Urban Studies
Housing Studies,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.1,1.476,Taylor & Francis,Sociology and Political Science
Human Behavior and Emerging Technologies,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,0.898,John Wiley & Sons,General Social Sciences
Human Communication Research,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,1.751,John Wiley & Sons,Anthropology
Human Resources for Health,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.1,1.527,Springer Nature,Public Administration
IEEE Transactions on Computational Social Systems,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.8,1.22,IEEE,Social Sciences (miscellaneous)
IEEE Transactions on Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,0.966,IEEE,Education
IEEE Transactions on Learning Technologies,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.5,1.893,IEEE,Education
IET Smart Cities,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,0.586,John Wiley & Sons,Urban Studies
Identity,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.4,0.596,Taylor & Francis,Anthropology
Industry and Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,0.71,SAGE,Education
Informatics,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.1,0.884,Multidisciplinary Digital Publishing Institute (MDPI),Communication
Informatics in Education,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.7,0.706,Vilnius University Institute of Data Science and Digital Technologies,Communication
Information Communication and Society,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.4,1.793,Taylor & Francis,Communication
Information Technology and Management,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.6,0.713,Springer Nature,Communication
Information Technology for Development,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.9,1.456,Association for Information Systems,Public Administration
Innovations in Education and Teaching International,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.1,1.818,Taylor & Francis,Education
Interactive Learning Environments,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,17.8,2.24,Taylor & Francis,Education
Interactive Technology and Smart Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.1,1.604,Emerald Publishing,Education
International Affairs,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.9,2.097,John Wiley & Sons,Political Science and International Relations
International Journal for Educational Integrity,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,15.8,1.935,Springer Nature,Social Sciences (miscellaneous)
International Journal of Advertising,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,15.9,3.182,Taylor & Francis,Communication
International Journal of Artificial Intelligence in Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,18.5,3.207,Springer Nature,Education
International Journal of Behavioral Development,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.495,SAGE,Social Sciences (miscellaneous)
International Journal of Bullying Prevention,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,0.966,Springer Nature,Social Sciences (miscellaneous)
International Journal of Child-Computer Interaction,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.4,1.024,Elsevier,Education
International Journal of Climate Change Strategies and Management,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,0.977,Emerald Publishing,Development
International Journal of Computer-Supported Collaborative Learning,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.9,2.627,Springer Publishing Company,Education
International Journal of Data and Network Science,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.7,0.542,Growing Science,Communication
International Journal of Educational Technology in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,48.4,7.947,Springer Nature,Education
International Journal of Gender and Entrepreneurship,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.0,1.055,Emerald Publishing,Gender Studies
International Journal of Geographical Information Science,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.9,1.346,Taylor & Francis,"Geography, Planning and Development"
